vendor_id,vendor_name,field_name,field_shape,bottom,left,right,top,doc_id,submitted_on,status,layout,manual_updated,row_id,is_there
09AAOCS7543R1Z7,SUNSHINE VEGETABLES PRIVATE LIMITED,invoiceDate,dd/dd/dddd,379,1722,1911,335,c53b9bd8-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAOCS7543R1Z7,SUNSHINE VEGETABLES PRIVATE LIMITED,invoiceNumber,Xxx/dddd-dd/dddd,393,1292,1603,339,c53b9bd8-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAOCS7543R1Z7,SUNSHINE VEGETABLES PRIVATE LIMITED,invoiceDate,dd/dd/dddd,414,1677,1868,367,bf9b59e8-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAOCS7543R1Z7,SUNSHINE VEGETABLES PRIVATE LIMITED,invoiceNumber,Xxx/dddd-dd/dddd,410,1243,1554,355,bf9b59e8-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AADCS0655F1ZE,SUGUNA FOODS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,218,1694,1881,176,b36304e6-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AADCS0655F1ZE,SUGUNA FOODS PRIVATE LIMITED,invoiceNumber,XXXXXXdd/ddddd,169,1687,1933,132,b36304e6-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAACS2018R1Z5,SUBHASH SALES PVT LTD,invoiceDate,dd/dd/dddd,273,1749,1983,229,acfa8200-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAACS2018R1Z5,SUBHASH SALES PVT LTD,invoiceNumber,dddd,266,1246,1335,228,acfa8200-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAACS2018R1Z5,SUBHASH SALES PVT LTD,invoiceDate,dd/dd/dddd,268,1626,1840,221,a4fc944e-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAACS2018R1Z5,SUBHASH SALES PVT LTD,invoiceNumber,dddd,270,1135,1227,230,a4fc944e-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAHCS9571J1ZQ,SRESTA NATURAL BIOPRODUCTS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,803,1938,2105,768,91125a04-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AAHCS9571J1ZQ,SRESTA NATURAL BIOPRODUCTS PRIVATE LIMITED,invoiceNumber,XXXXXdddd-ddddd,861,1935,2293,824,91125a04-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
05ACGFS0370M1Z0,SPT FOODS,invoiceDate,dd/dd/dddd,952,1976,2113,924,894d7a7e-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
05ACGFS0370M1Z0,SPT FOODS,invoiceNumber,XX/X/dd-dd/dddd,953,1616,1870,927,894d7a7e-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
05ACGFS0370M1Z0,SPT FOODS,invoiceDate,dd/dd/dddd,931,1963,2098,903,174140c8-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
05ACGFS0370M1Z0,SPT FOODS,invoiceNumber,XX/X/dd-dd/dddd,929,1600,1856,904,174140c8-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAVCS4669R1ZT,Sproutlife Foods Private Limited,invoiceDate,dd/dd/dddd,854,1913,2057,826,0fa32ce6-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAVCS4669R1ZT,Sproutlife Foods Private Limited,invoiceNumber,XXXXXXdddddddddd,857,1480,1838,820,0fa32ce6-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAVCS4669R1ZT,Sproutlife Foods Private Limited,invoiceDate,dd/dd/dddd,937,2003,2137,911,08ba6656-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAVCS4669R1ZT,Sproutlife Foods Private Limited,invoiceNumber,XXXXXXdddddddddd,941,1592,1926,912,08ba6656-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29ABACS8927L1ZN,SOURCE DOCK PVT LTD,invoiceDate,dd/dd/dddd,604,434,556,571,020667b0-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29ABACS8927L1ZN,SOURCE DOCK PVT LTD,invoiceNumber,XX/XX-dddd/ddddd,529,435,678,490,020667b0-d9f8-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29ABACS8927L1ZN,SOURCE DOCK PVT LTD,invoiceDate,dd/dd/dddd,620,429,555,587,fad34e36-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29ABACS8927L1ZN,SOURCE DOCK PVT LTD,invoiceNumber,XX/XX-dddd/ddddd,544,429,679,508,fad34e36-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
19AAKFS6806J1ZO,SINGHANIA & COMPANY - KOLKATA,invoiceDate,dd/dd/dddd,588,1964,2125,550,e76b7134-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
19AAKFS6806J1ZO,SINGHANIA & COMPANY - KOLKATA,invoiceNumber,XX/dddd/dd-dd,585,1522,1717,554,e76b7134-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
19AAKFS6806J1ZO,SINGHANIA & COMPANY - KOLKATA,invoiceDate,dd/dd/dddd,639,1976,2141,606,df4aebec-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
19AAKFS6806J1ZO,SINGHANIA & COMPANY - KOLKATA,invoiceNumber,XX/dddd/dd-dd,637,1541,1813,608,df4aebec-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAYCS2415C1Z5,SHRIJRG FOOD PRODUCTS PRIVATE LIMITED,invoiceDate,dd/dd/dddd,229,1539,1712,193,da59a088-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAYCS2415C1Z5,SHRIJRG FOOD PRODUCTS PRIVATE LIMITED,invoiceNumber,XXX/dd-dd/XXdddd,234,1128,1450,194,da59a088-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
,,,,,,,,,,,,,,
29AAYCS2415C1Z5,SHRIJRG FOOD PRODUCTS PRIVATE LIMITED,invoiceNumber,XXX/dd-dd/XXdddd,468.072,1395.6830000000002,1721.6801,426.9384,d2f0de4c-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AAZPA7183K1Z3,SHREE SAI SALES CORPORATION - GURGAON,invoiceDate,dd/dd/dddd,646,1510,1710,603,383ccd52-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AAZPA7183K1Z3,SHREE SAI SALES CORPORATION - GURGAON,invoiceNumber,dddd,597,1508,1599,556,383ccd52-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AAZPA7183K1Z3,SHREE SAI SALES CORPORATION - GURGAON,invoiceDate,dd/dd/dddd,667,1512,1712,623,31db5f5a-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AAZPA7183K1Z3,SHREE SAI SALES CORPORATION - GURGAON,invoiceNumber,dddd,622,1509,1599,577,31db5f5a-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06ABUFS2246R1Z9,SHIVAM ENTERPRISES - GURGAON,invoiceDate,dd/dd/dddd,463,464,688,425,2c108afa-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06ABUFS2246R1Z9,SHIVAM ENTERPRISES - GURGAON,invoiceNumber,XXXdddd,427.23870000000005,463.01039999999995,658.1783999999999,389.93359999999996,2c108afa-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06ABUFS2246R1Z9,SHIVAM ENTERPRISES - GURGAON,invoiceDate,dd/dd/dddd,597,498,714,553,253f1c32-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06ABUFS2246R1Z9,SHIVAM ENTERPRISES - GURGAON,invoiceNumber,XXXdddd,547,500,675,505,253f1c32-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAMCS8705P1ZD,SAFE HARVEST - BLR,invoiceDate,dd/dd/dddd,1111,550,713,1072,0853faac-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAMCS8705P1ZD,SAFE HARVEST - BLR,invoiceNumber,XXXdddd/dddd,1058,546,764,1020,0853faac-d9f7-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAMCS8705P1ZD,SAFE HARVEST - BLR,invoiceDate,dd/dd/dddd,1154,564,726,1114,f912ff8e-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AAMCS8705P1ZD,SAFE HARVEST - BLR,invoiceNumber,XXXdddd/dddd,1101,564,776,1064,f912ff8e-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AADCS7820A1ZR,RSPL LIMITED,invoiceDate,dd/dd/dddd,381,2231,2310,362,f3a0f31c-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AADCS7820A1ZR,RSPL LIMITED,invoiceNumber,XXdddddddddddd,354,2078,2198,329,f3a0f31c-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AADCS7820A1ZR,RSPL LIMITED,invoiceDate,dd/dd/dddd,387,2290,2371,366,80ed0220-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06AADCS7820A1ZR,RSPL LIMITED,invoiceNumber,Xddddddddddddd,359,2132,2257,335,80ed0220-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06ABAFR9999Q1ZY,RKV INDUSTRIES,invoiceDate,dd/dd/dddd,327,2414,2559,297,7877e04c-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06ABAFR9999Q1ZY,RKV INDUSTRIES,invoiceNumber,dddd,323,1728,1795,295,7877e04c-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06ABAFR9999Q1ZY,RKV INDUSTRIES,invoiceDate,dd/dd/dddd,316,2435,2579,286,6a11b0fa-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
06ABAFR9999Q1ZY,RKV INDUSTRIES,invoiceNumber,dddd,313,1746,1811,288,6a11b0fa-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAECR7456E1Z5,RISSHTA FOODS PVT LTD,invoiceDate,dd/dd/dddd,555,1615,1755,523,63b94696-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAECR7456E1Z5,RISSHTA FOODS PVT LTD,invoiceNumber,XXXX/XXX/ddddd,564,1248,1530,524,63b94696-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
09AAECR7456E1Z5,RISSHTA FOODS PVT LTD,invoiceDate,dd/dd/dddd,585,1695,1842,553,58a432f2-d9f6-11ed-833c-7d4f4854b673,13/04/23,1,,,,
09AAECR7456E1Z5,RISSHTA FOODS PVT LTD,invoiceNumber,XXXX/XXX/ddddd,587,1319,1612,553,58a432f2-d9f6-11ed-833c-7d4f4854b673,13/04/23,1,,,,
07AIRPG4946L1ZN,,invoiceDate,dd/dd/dddd,605,1836,2010,565,526f3f80-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AIRPG4946L1ZN,,invoiceNumber,XX/ddddd,400,1953,2134,356,526f3f80-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AIRPG4946L1ZN,,invoiceDate,dd/dd/dddd,465,1802,1984,423,48358eca-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
07AIRPG4946L1ZN,,invoiceNumber,XX/ddddd,260,1923,2108,216,48358eca-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
27AABCR2655Q1ZU,RECKITT BENCKISER IND PVT LTD,invoiceDate,dd/dd/dddd,377,2081,2265,342,4336d992-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
27AABCR2655Q1ZU,RECKITT BENCKISER IND PVT LTD,invoiceNumber,dddddddd,379,1682,1842,346,4336d992-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
27AABCR2655Q1ZU,RECKITT BENCKISER IND PVT LTD,invoiceDate,dd/dd/dddd,359,1985,2180,319,3b451c9e-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
27AABCR2655Q1ZU,RECKITT BENCKISER IND PVT LTD,invoiceNumber,dddddddd,360,1565,1736,324,3b451c9e-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AABCR2655Q1ZQ,RECKITT BENCKISER (INDIA) PRIVATE LIMITED-HYHO,invoiceDate,dd/dd/dddd,553,1978,2150,522,2ce852f6-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
29AABCR2655Q1ZQ,RECKITT BENCKISER (INDIA) PRIVATE LIMITED-HYHO,invoiceNumber,dddddddd,554,1608,1759,523,2ce852f6-d9f6-11ed-833c-7d4f4854b673,14/04/23,1,,,,
,,,,,,,,,,,,,,
